Delay Time,D_sites,Repair Rate,Repair Rate Std,Misrepair Rate,Misrepair Rate Std
640.0,3.162277660168379e+16,0.865,0.34172357249683555,0.005,0.07053367989832944
640.0,1e+17,0.895,0.3065534211193866,0.0,0.0
1280.0,10000000000.0,0.735,0.4413332074521472,0.0,0.0
1280.0,31622776601.683792,0.8,0.4,0.0,0.0
1280.0,100000000000.0,0.805,0.3962007067131506,0.0,0.0
1280.0,316227766016.83795,0.835,0.37118054905934933,0.0,0.0
1280.0,1000000000000.0,0.81,0.39230090491866065,0.0,0.0
1280.0,3162277660168.3794,0.78,0.4142463035441596,0.005,0.07053367989832943
1280.0,10000000000000.0,0.835,0.37118054905934933,0.0,0.0
1280.0,31622776601683.793,0.77,0.4208325082500163,0.0,0.0
1280.0,100000000000000.0,0.725,0.44651427748729383,0.01,0.09949874371066199
1280.0,316227766016837.94,0.83,0.375632799419859,0.0,0.0
1280.0,1000000000000000.0,0.785,0.4108223460329294,0.005,0.07053367989832943
1280.0,3162277660168379.5,0.795,0.40370162248868907,0.0,0.0
1280.0,1e+16,0.81,0.39230090491866065,0.01,0.09949874371066199
1280.0,3.162277660168379e+16,0.81,0.39230090491866065,0.01,0.09949874371066199
1280.0,1e+17,0.775,0.41758232721225164,0.025,0.15612494995995996
2560.0,10000000000.0,0.73,0.4439594576084623,0.0,0.0
2560.0,31622776601.683792,0.675,0.4683748498798798,0.0,0.0
2560.0,100000000000.0,0.76,0.4270831300812525,0.0,0.0
2560.0,316227766016.83795,0.675,0.4683748498798798,0.0,0.0
2560.0,1000000000000.0,0.66,0.4737087712930805,0.0,0.0
2560.0,3162277660168.3794,0.65,0.47696960070847283,0.0,0.0
2560.0,10000000000000.0,0.725,0.44651427748729383,0.005,0.07053367989832945
2560.0,31622776601683.793,0.71,0.4537620521815371,0.02,0.13999999999999999
2560.0,100000000000000.0,0.695,0.460407428263272,0.035,0.1837797594948911
2560.0,316227766016837.94,0.7,0.45825756949558394,0.01,0.09949874371066199
2560.0,1000000000000000.0,0.755,0.43008720046055776,0.01,0.09949874371066199
2560.0,3162277660168379.5,0.725,0.44651427748729383,0.01,0.09949874371066199
2560.0,1e+16,0.72,0.44899888641287294,0.005,0.07053367989832945
2560.0,3.162277660168379e+16,0.68,0.466476151587624,0.015,0.1215524578114322
2560.0,1e+17,0.675,0.4683748498798798,0.005,0.07053367989832944
